ID,Question,Judge,Reason
26,"酵素 - Google Shopping HIBINO 日比野 黃金消化酵素150g罐裝Visit siteNT$2,100.00 · 蝦皮購物Free shippingCOMPARE PRICESPRODUCT DETAILS促進食慾助消化 。 含多種天然酵素、有機酸、水溶性纖維素等。 協助改變改變細菌叢生態,幫助寶寶排便順暢。 讓好菌活力滿滿,維持寶寶消化道機能。 幫助寶寶調整體質,增強體力MORE DETAILSONLINE SHOPSSort DefaultDefaultPrice - low to highPrice - high to lowNT$2,100.00Free shipping蝦皮購物NT$1,512.00Free shippingmomo購物網NT$1,680.00Free shipping媽咪愛",legal,廣告文字內容中的「促進食慾助消化」、「協助改變細菌叢生態」、「幫助寶寶排便順暢」、「讓好菌活力滿滿」、「維持寶寶消化道機能」、「幫助寶寶調整體質」及「增強體力」等詞語，經比對參考資料，均屬於被允許的健康宣稱範圍內。例如，「改變細菌叢生態」、「排便順暢」、「維持消化道機能」、「調整體質」等詞語在參考資料中明確指出不視為有違法風險。而「促進食慾助消化」、「讓好菌活力滿滿」及「增強體力」等詞語，在從寬認定合法性的原則下，可視為與參考資料中「保護消化道全機能」、「提升吸收滋養消化機能」、「提升生理機能」等允許的健康效益描述相符，未涉及誇大療效或違法。
27,【消化酵素是什麼？】 消化酵素是可將食物由大分子分解為小分子，幫助消化，維持消化道機能。 美國n.zimes®高活性綜合消化酵素 世界一流酵素大廠 n.zimes® ► 幫助消化效率大幅提升 ✦ 多元真菌發酵酵素 ► 比一般蔬果酵素效果更好 ✦ 綜合19種超級酵素配方 ► 活性酵素種類多 ✦ 荷蘭 TNO 實驗研究 ►實驗證實大幅提升消化效率 ✦ 保證絕不添加傷身瀉藥成分(番瀉葉、番瀉苷) ✦ 給你大自然的真實，無添加任何化學賦形劑、果汁粉、甜味劑 丹麥Gastro-AD®保衛樂 德式乳桿菌大豆發酵物 ✦ 世界大廠Gastro-AD® ► 緩解飲食後困擾 ✦ 不含西藥、制酸劑 ► 成分天然無副作用 ✦ 具GMP KOSHER HALA安全認證 【消化禮物 商品資訊】 產品名稱：[消化禮物]保衛高活性19種消化酵素 成分：大豆發酵物(非基改大豆、德氏乳桿菌質)、綜合消化酵素(麥芽糊精、澱粉分解酵素、植酸酵素、葡萄糖澱粉酵素RO、複合酵素(含脂肪分解酵素、蛋白質分解酵素、澱粉分解酵素、麥芽糊精)、中性蛋白質分解酵素、鳳梨酵素、蛋白質分解酵素4.5、轉化酵素、蛋白質分解酵素3.0、半纖維素分解酵素、果膠酵素、α-半乳糖苷酶、蛋白質分解酵素AM、脂肪分解酵素、胜肽分解酵素、乳糖分解酵素、蛋白質分解酵素6.0、澱粉酵素、纖維素分解酵素AN)、玉米來源可溶性纖維 膠囊成分：羥丙基甲基纖維素 內容量：560毫克/顆，30顆/盒 食用方式：每日2~4顆，隨餐食用。 保存期限：二年 保存方法：請置於陰涼乾燥處，避免日光直照或高溫潮濕的環境。開封後請將乾燥劑取出並於60天內食用完畢，以保最佳效果。 產地：台灣 過敏原：本產品含大豆製品及麩質之穀物製品。 全素可食,legal,"The advertisement primarily focuses on improving digestive function and efficiency, which aligns with the permitted claims for health supplements (e.g., '幫助消化', '維持消化道機能', '提升吸收滋養消化機能'). Phrases like '幫助消化效率大幅提升' and '實驗證實大幅提升消化效率' are strong performance claims but do not cross into medical efficacy or disease treatment, especially when considering '提升吸收滋養消化機能' is deemed acceptable in the reference. The comparative claim '比一般蔬果酵素效果更好' is a product performance claim, not a medical one. The phrase '緩解飲食後困擾' uses '緩解' which can be borderline, but '飲食後困擾' is a general discomfort rather than a specific disease, and under the '從寬認定合法性' principle, it can be interpreted as a functional benefit for common digestive feelings. Claims like '無副作用' and '不添加傷身瀉藥成分' are safety and transparency claims, not exaggerated efficacy. Overall, the language avoids direct claims of treating, curing, or preventing specific diseases, adhering to the principle of lenient interpretation for legality."
28,"酵素 - Google Shopping Jyc 極研萃暢快纖酵素錠60錠Visit siteNT$1,490.00 · 屈臣氏網路商店COMPARE PRICESPRODUCT DETAILS詳細介紹 6大消化代謝維持健康、排便順暢。 56種蔬菜、24種水果、10種乳酸菌、日本專利蘋果果膠。 80蔬果酵素 × 乳酸菌 × 綠茶 × 鳳梨酵素 × 日本蘋果果膠 × 大麥草 × 蛋白酵素。 小叮嚀 1. 請置於乾燥陰涼通風處避免陽光照射同時置於孩童無法拿取處。 2. 若正值懷孕、哺乳或藥物治療等情況請洽詢醫師、藥師、營養師之建議請依食用方式使用有助維持健康。 3. 食用方式每日一次每次一粒每日限食用一粒睡前搭配冷溫開水用多食無益。 4. 本品含燕麥片、大麥、芝麻、大豆、黑麥、黑豆、芒果、腰果、核桃、糖、乳酸菌。 本產品投保產品責任險新台幣貳仟萬元。 通過sgs檢驗核可。 專業設備及製程專利成分添加。 技術研究中心創新技術開發。 商品規格 商品簡述 6大消化代謝維持健康、排便順暢 56種蔬菜、24種水果、10種乳酸菌、日本專利蘋果果膠。 品牌 極研萃jyc 規格 60錠 原產地 台灣 深、寬、高 4.5x8.5x13cm 淨重 200 G 保存環境 室溫 是否可門市/超商取貨 Y 商品屬性 投保產品責任險 新台幣貳仟萬元 製造日期 詳見包裝 包裝份量 60錠 食品業者登錄字號 B-200206504-00000-7 藥商許可執照: 藥商諮詢專線:0800-051-148 許可執照字號:北市衛藥販松字第620101c611號 藥商名稱:台灣屈臣氏個人用品商店股份有限公司 藥商地址:台北市松山區八德路四段760號11樓之1、之2及14樓 藥商諮詢專線:(02)27421234MORE DETAILSUSER REVIEWS5.0★★★★★694 reviews54321SEE ALL REVIEWSONLINE SHOPSSort DefaultDefaultPrice - low to highPrice - high to lowNT$1,490.00屈臣氏網路商店NT$1,390.00樂天市場購物網NT$564.00Free shippingCoupang 酷澎NT$1,490.00Free shipping蝦皮購物",legal,"廣告文字內容中的主要訴求為「6大消化代謝維持健康、排便順暢」以及「有助維持健康」。根據參考資料，以下詞語被視為不具違法風險：
- 「排便順暢」：廣告中直接使用此詞，與參考資料完全相符。
- 「促進新陳代謝」：廣告中的「消化代謝維持健康」與此概念相近，且「維持健康」本身是廣泛接受的保健訴求，不涉及療效。
- 「保護消化道全機能」：廣告中的「消化代謝維持健康」也與消化道功能相關，且未宣稱治療或改善疾病。

綜合判斷，廣告用詞均落在參考資料所列的合法範圍內，未見誇大療效或涉及違法之處。廣告中也包含「小叮嚀」提醒消費者諮詢專業人士，並強調「多食無益」，顯示其謹慎性。"
29,"酵素 - Google Shopping 【大漢酵素】果萃蔬果酵素粉(30入/盒)Visit siteNT$1,242.00 · momo購物網Free shippingCOMPARE PRICESPRODUCT DETAILS外食族神救援! 一天吃不到5色蔬果,那就一包吃進52種豐富自然營養素,滿足健康正能量,一日的蔬果營養,就靠果萃Carry。 52種蔬果鮮萃+啤酒酵母、維他命C、綜合酵素、植化素、Beta胡蘿蔔素、難消化性麥芽糊精-低GI優質水溶性纖維,確實維持消化道健康,蔬果全明星隊,小小一包,營養輕鬆罩!MORE DETAILSUSER REVIEWS5.0★★★★★1 review54321SEE ALL REVIEWSONLINE SHOPSSort DefaultDefaultPrice - low to highPrice - high to lowNT$1,242.00Free shippingmomo購物網NT$1,242.00Free shippingPChome 24h購物",legal,廣告文字內容主要強調產品的營養補充功能，如「吃進52種豐富自然營養素」、「一日的蔬果營養，就靠果萃Carry」、「營養輕鬆罩」，這些說法與參考資料中「完整補充營養」的概念相符，不視為有違法風險。此外，「確實維持消化道健康」的說法，與參考資料中「保護消化道全機能」的描述相似，根據從寬認定合法性的原則，亦不視為誇大療效或違法。廣告中並無涉及疾病治療、預防或誇大不實的醫療效能宣稱。
30,🌟 日本Svelty糖脂分解酵素三倍加強版推薦！💪✨ 所有美妹們注意啦！平時的party都在等著我們大吃大喝，但別擔心，有了這款Svelty糖質分解酵母酵素，吃貨們也能輕鬆瘦身啦！這酵母能分解和消化碳水化合物，幫你有效吸收糖和脂肪，吃甜品也不怕啦！🍰🍬和其他酵素不同，它能幫助我們提高新陳代謝，讓燃脂更有效率！💥還能促進消化，潤腸通便，我親測，感覺真的很不錯！❤️這是3倍加強版哦！效果更好更強勁，飯前吃兩粒，真的能控制飯量，堅持吃下去，瘦下來簡直不要太easy！… 在日本減肥排名第一的產品！💪✨ 分解脂肪的利器，范冰冰都親自用過並推薦！🌟🔥 要找到它真的不容易，但為了美，一定要值！💃 有56粒和100粒2個規格可以選擇，主要成分包括殼聚糖，酵母菌，白芸豆提取物等，完全無副作用！👍 減肥當然是為了美麗，但健康更重要！記得選用對身體無害的產品哦！💖 #Svelty糖質分解酵母酵素 #Svelty #絲蓓緹 #分解酵母 #酵素 [使用方法]普通款：建議服用方法：飯後2粒，一天最多4粒 3倍加強版：建議服用方法：午飯後吃2顆，晚飯後吃2顆[原料成分] 普通款：乾燥酵母、幾丁聚糖、白腎豆萃取粉、難消化性麥芽糊精、乳糖、藤黃果萃取粉、燭台草粉末、羞辱草萃取粉、蛇葡萄萃取粉、抹茶、寡糖、烏龍茶萃取粉、麥芽糊精、雙歧桿菌、及麥芽糖醇。 3倍加強版：乾燥酵母、幾丁聚糖、白腎豆萃取粉、難消化性麥芽糊精、乳糖、藤黃果萃取粉、燭台草粉末、羞辱草萃取粉、蛇葡萄萃取粉、抹茶、麥芽糖醇、寡糖、薑黃萃取、烏龍茶萃取、麥芽糊精、雙歧桿菌、科勒斯福斯科利萃取物、黑胡椒萃取物、結晶纖維素、明膠、硬脂酸鈣、二氧化矽、琥珀酸、碳酸鈣。[相關知識]酵母酵素的益处1. 维护血糖稳定：酵母酵素被认为可以帮助分解碳水化合物，这对于控制血糖水平非常重要。通过有效吸收糖分，它有助于维持血糖在正常范围内，这对于那些希望控制体重或需要管理糖尿病的人来说尤为重要。2. 提高新陈代谢：与其他酵素不同，酵母酵素被认为可以促进新陈代谢的正常运行。这意味着它有助于身体更有效地将食物转化为能量，从而有助于维持健康的体重和活力。3. 促进消化和肠道健康：酵母酵素可以帮助促进消化，减少胃肠道不适感。此外，它含有的一些成分可能有助于潤腸通便，帮助维持良好的肠道健康。4. 抗氧化和抗炎作用：酵母酵素中的一些成分，如抹茶和薑黃萃取，被认为具有抗氧化和抗炎特性。这些特性有助于减少自由基损害，维护身体的整体健康。,illegal,"廣告文字內容涉及多處誇大療效及違法用詞：

1.  **誇大療效，暗示輕鬆減肥：** 「吃貨們也能輕鬆瘦身啦！」、「瘦下來簡直不要太easy！」、「吃甜品也不怕啦！」這些詞語暗示無需努力即可輕鬆減肥，且能抵銷不健康飲食的影響，遠超出參考資料中允許的「有助於不易形成體脂肪」等較為保守的說法，構成誇大不實。
2.  **涉及特定生理功能及治療效果：**
    *   「這酵母能分解和消化碳水化合物，幫你有效吸收糖和脂肪」：聲稱能「分解和消化碳水化合物」及「有效吸收糖和脂肪」（此處「吸收」若指阻斷吸收或改變吸收方式以利減肥，則為強烈生理作用），這些描述了具體的生理作用，已超出一般食品或保健品所能宣稱的範疇，更接近藥品療效。
    *   「讓燃脂更有效率！」、「分解脂肪的利器」：直接宣稱能「燃脂」或「分解脂肪」，暗示產品具有直接的減脂功能，而非僅是「促進新陳代謝」等間接輔助。
    *   「真的能控制飯量」：暗示產品具有抑制食慾或增加飽足感的功能，這屬於對人體生理機能的直接干預，通常為藥品範疇。
3.  **宣稱「無副作用」：** 「完全無副作用！」此類宣稱是極度不負責任且違法的。任何產品，特別是會影響身體機能的產品，都無法保證「完全無副作用」，此為誤導性陳述。
4.  **宣稱「排名第一」：** 「在日本減肥排名第一的產品！」此類「第一」或「之最」的宣稱，若無客觀且可驗證的數據支持，通常被視為誇大不實或誤導性廣告。

綜合以上，廣告文字內容已超出參考資料中允許的範圍，涉及誇大療效、暗示治療效果及不實宣稱，因此判斷為違法。"
31,商品名稱：大漢酵素綜合蔬果醱酵液容量規格：720mlx1瓶成份來源：蔬果醱酵液(鳳梨、番薯、甜瓜、檸檬、番茄、番石榴、南瓜、青花菜、蘋果、小黃瓜、葡萄、楊桃、芥菜、黃豆、甜椒、西瓜、木瓜、蘿蔔、馬鈴薯、萵苣、花椰菜、梅子、胡蘿蔔、小白菜、哈密瓜、芹菜、黃瓜、蕪菁、隼人瓜、胡瓜、山藥、甘藍、空心菜、芥藍、瓠瓜、葡萄柚、金桔、絲瓜、生薑、菠菜、番薯葉、水梨、蓮霧、青椒、青江菜、苦瓜、小松菜、冬瓜、酪梨、印度棗、木薯、蘆筍、甜菜根、諾麗果、黑木耳、豆瓣菜、紅鳳菜、百香果、枇杷、釋迦、柳橙、龍眼、芒果、蓮藕、芋頭、火龍果、紫蘇、荔枝、香菇、金針菇、柿子、白菜、李子、奇異果、茄子、柑橘、玉米、桑椹、草莓、紅豆、豌豆、牛蒡、甘蔗、蘆薈、櫻桃、蓮子、藍莓、菜豆)。原產地(國)：台灣製造廠商或國內負責廠商名稱：大漢酵素生物科技股份有限公司製造廠商或國內負責廠商地址：新北市板橋區四川路二段16巷10號10樓製造廠商或國內負責廠商電話：02-89669671使用方法：每天使用1~3次，每次30毫升，以5-8倍的冷水或溫水稀釋飲用，冰涼飲用風味更佳,legal,廣告文字內容僅包含商品名稱、容量規格、成份來源、原產地、製造廠商資訊及使用方法等產品基本資訊。文中並未提及任何關於療效、功能性或健康效益的詞語，因此不涉及誇大療效或違法之虞。所提供的參考資料是用於判斷哪些詞語『不視為有違法風險』，而此廣告文字中根本沒有出現任何健康相關的詞語，故無從判斷其是否誇大療效。
32,"酵素 - Google Shopping 消化綜合酵素膠囊Visit siteNT$1,690.00 · LAC TaiwanCOMPARE PRICESPRODUCT DETAILSForm: CapsuleSupplement Ingredient: ProbioticsType: SupplementsAge Group: Adult專利酵素加乳酸菌複合配方,有效幫助食物消化、分解。 複合酵素配方-三大營養素消化酶。 專利 Digeseb & Hemiseb -含醣類、纖維分解酶。 乳酸菌證實具高生理利用率,能有效在人體作用,維持健康。 多種消化酵素可幫助食物分解成小分子,有助於三大營養素的吸收,幫助消化。 植酸酶能分解植酸(如:大豆、大麥及全穀類),消化酵素能提升消化機能,減輕負擔。 特殊纖維酶能幫助纖維分解,使食物更容易被消化利用。 奶素食者可食。MORE DETAILSUSER REVIEWS5.0★★★★★1 review54321SEE ALL REVIEWSONLINE SHOPSNT$1,690.00LAC Taiwan",legal,該廣告文字內容主要圍繞在幫助食物消化、分解、促進營養吸收以及提升消化機能等酵素的已知功能。其中，'幫助食物消化、分解'、'有助於三大營養素的吸收'、'幫助消化'、'提升消化機能'等用語，與參考資料中列出的合法用語如'保護消化道全機能'、'提升吸收滋養消化機能'等語意相近或屬於其合理延伸，並未超出酵素作為消化輔助品的合理範疇。'維持健康'為一般性健康維持用語，不涉及療效宣稱。'減輕負擔'在上下文脈絡中指減輕消化系統的負擔，亦屬合理描述。整體而言，廣告內容未出現誇大療效、暗示治療疾病或違反法規的用語，且根據'從寬認定合法性'原則，判斷為合法。
33,&nbsp; 規格說明 商品名稱：【大漢酵素】 明日美夜酵素DX膠囊 商品組合/規格：60顆/盒 內容物名稱(成分)：胺基乙酸(甘胺酸)、綜合消化酵素(蛋白酵素、麥芽糊精、澱粉酵素、糖化酵素、脂解酵素、轉化酵素、鳳梨酵素、纖維素分解酵素)、RutaFit®蔬果醱酵粉(麥芽糊精、鳳梨、檸檬、酸橘、柳橙、金桔、銀耳、昆布、山藥)、Trititide®小麥苗發酵物(麥芽糊精、小麥苗，含γ胺基丁酸)、Vitazyme®52蔬果醱酵粉(麥芽糊精、薏仁、西瓜、鳳梨、檸檬、菠菜、萵苣、哈密瓜、芹菜、瓠瓜、番茄、海茸、甘藍、甜瓜、冬瓜、絲瓜、蘿蔔、木瓜、皇宮菜、小白菜、蕪菁、葡萄、金桔、水梨、隼人瓜、芥菜、南瓜、蘋果、酪梨、杏鮑菇、木薯、芥藍、小松菜、空心菜、胡蘿蔔、印度棗、青花菜、銀耳、黃瓜、苦瓜、馬鈴薯、蘆筍、花椰菜、山藥、青椒、生薑、番薯、蓮霧、甜椒、番石榴、梅子、青江菜、番薯葉)、望江南萃取物(望江南萃取物、麥芽糊精)、維生素C。 膠囊成份：羥丙基甲基纖維素、純水、鹿角菜膠、食用紅色六號、氯化鉀、食用藍色一號。 原產地(國)：台灣 製造廠商或國內負責廠商名稱：大漢酵素生物科技股份有限公司 製造廠商或國內負責廠商地址：新北市板橋區四川路二段16巷10號10樓 製造廠商或國內負責廠商電話：02-89669671 保存期限：二年 食品業者登錄字號：F-165145107-00000-2 投保產品責任險字號：新安東京海上產物保險股份有限公司1700013ME000005 保存方式：請放置於陰涼處，避免日曬，並請盡速食用完畢。 使用方法：每日睡前1~2顆，搭配開水食用。 葷/素食：全素,legal,廣告文字內容僅包含商品名稱、規格說明及成分列表，並未提及任何關於產品功效或療效的文字敘述。根據無罪判定原則，未發現有誇大療效或違法之廣告用詞。
34,"美白 - Google Shopping 美白靈白薏米高保濕乳液 250ml 靈白Visit siteNT$145.00 · momo購物網+NT$75.00 shippingCOMPARE PRICESPRODUCT DETAILSType: FaceIngredient: Hyaluronic AcidFeatures: Oil-free, Alcohol-free, Fragrance-free, Silicone-freeBenefit: Collagen BoostingSkin Type: For Dry Skin使用 Reihaku 薏米高保濕乳液 250ml 探索深層保濕。 這款美麗的白色乳液專為鎖住水分而配製,讓您的肌膚柔軟、光滑、容光煥發。 非常適合日常使用。MORE DETAILSUSER REVIEWS4.9★★★★★308 reviews54321SEE ALL REVIEWSONLINE SHOPSSort DefaultDefaultPrice - low to highPrice - high to lowNT$145.00+NT$75.00 shippingmomo購物網NT$128.00Free shippingCoupang 酷澎NT$154.00+NT$589.23 shippingJapan With Love",legal,廣告文字內容中提及的「美白」和「Collagen Boosting」屬於常見的化妝品功效宣稱，旨在改善肌膚外觀，使其看起來更明亮、有彈性。廣告中並未出現如「治療」、「根治」、「醫學級效果」等暗示醫療效能或誇大療效的詞語。主要強調的是「深層保濕」、「鎖住水分」、「肌膚柔軟、光滑、容光煥發」等化妝品常見的保養效果。根據「無罪判定原則」及「從寬認定合法性」的原則，這些用詞被視為描述化妝品的美容效果，而非涉及誇大療效或違法。
35,美白 - Google Shopping 肌研 極潤完美多效美白凝露 (100g)Visit siteNT$499.00 · 屈臣氏網路商店COMPARE PRICESPRODUCT DETAILS詳細介紹 肌研極潤完美多效美白凝露 100g Hada-labo Gokujyun Whitening Perfect Gel 肌研極潤系列—對肌膚潤澤的極度堅持 美白對策嚴選高純度熊果素-衛福部公告有效美白成分能抑制麥拉寧色素生成改善因紫外線導致的黑斑、暗沉同時添加allantoin-鎮定修護成分及雙重玻尿酸-保濕成分-洗臉後只要一瓶就能如面膜般賦予肌膚晶透煥白實現白皙美肌。 肌研極潤完美多效美白凝露 -嚴選高純度熊果素、維他命c衍生物深度美白肌膚 -凝露質地水感清爽不黏膩滑順好推展 -採用與健康肌膚相同的弱酸性 -低刺激性無添加香料、色素、礦物油、酒精 只要1瓶簡單實現5瓶功效all In One高機能美白凝露誕生! 化妝水 精華液 乳液 乳霜 晚安面膜 肌研是日本樂敦製藥研究中心研發的肌膚保養品牌。 本著”Perfect & Simple”的理念嚴選對肌膚真正有效及有益的成分以製藥標準打造高品質產品帶給消費者安全無虞的信心美肌。 用途美白、潤澤保濕肌膚 用法早晚洗臉後取適量於掌心輕柔塗抹於全臉(無需再清洗) -因質地濃潤使用後請稍待其完全吸收或以面紙輕輕按壓再上粧 -可依個人膚況搭配其他保養品使用 6種有效美白潤澤成分添加 高純度熊果素 維他命c衍生物 Allantoin 玻尿酸 水解玻尿酸 水解膠原蛋白 深入滲透角質層,legal,廣告文字內容主要針對肌膚美白、改善黑斑暗沉等化妝品常見功效進行描述，並明確指出產品含有衛福部公告之有效美白成分「熊果素」。參考資料中列出的合法詞彙主要與食品或保健品之生理機能、新陳代謝、排便等相關，與本廣告之化妝品功效描述無直接關聯。根據「從寬認定合法性」原則，且廣告內容未涉及醫療效能或誇大不實之宣稱，其美白、抑制麥拉寧色素生成、改善黑斑暗沉等描述符合化妝品廣告之範疇，不構成誇大療效或違法。
36,"美白 - Google Shopping 妮維雅LUMINOUS630淡斑煥白精華30mlVisit siteNT$1,176.00 · momo購物網Free shippingCOMPARE PRICESPRODUCT DETAILS2週淡斑 速擊黑X超護白 全球NO.1淡斑精華 淡化10大班點瑕疵 - 極致淡斑LUMINOUS 630 專利美白淡斑成分抑制黑色素生成源頭—酪胺酸酶,根源狙擊10大斑點瑕疵! 經科學實證有效淡化已生成斑點顏色、 數量與面積,並精準抑制未來斑點生成,高效溫和、不乾燥脫皮。 - 表層擊黑維他命C 美白不易刺激,肌膚煥活透亮! - 肌底護白維他命E 還原護白、鞏固白皙,預防暗沉蠟黃,由肌底透出無瑕光采。 - 修護煥亮獨特微分子玻尿酸 直達肌裡,層層修護暗沉 乾燥,強力補水持久保濕, 撐起水嫩煥亮肌。 註1 10大斑點瑕疵:黑斑、黑色素沉澱、10年以上黑斑、曬斑、色素沉澱、乾紋、乾燥缺水、粗糙顆粒、暗沉無光、蠟黃、膚色不均等斑點、肌膚瑕疵問題。 註2 妮維雅LUMINOUS 630 淡斑煥白精華為全球36個國家臉部保養品項-淡斑精華液品項總零售銷售額第1。 資料來源:Nielsen IQ,計算於2021年5月至2022年4月。 註4 43位女性每天2次持續使用2週後依據自我評量指標結果。 註5 經35位女性受測者使用本產品8週自我評量指標 測試結果,以及4週經皮膚科醫師評估 “MASI score” 顯著下降 註6 酪胺酸酶受日照或壓力等,會刺激黑色素生成,從源頭抑制酪胺酸酶活性才是美白淡斑關鍵之一! 妮維雅經多年研究,以人類酪胺酸酶進行抑制黑色素實測,從上萬種成分中,篩選出第630個真正抑制人體酪胺酸酶的美白淡斑成分 LUMINOUS 630 。MORE DETAILSUSER REVIEWS4.9★★★★★1,383 reviews54321SEE ALL REVIEWSONLINE SHOPSSort DefaultDefaultPrice - low to highPrice - high to lowNT$1,176.00Free shippingmomo購物網NT$999.00樂天市場購物網NT$999.00Free shipping蝦皮購物",legal,"此廣告文字內容為妮維雅LUMINOUS630淡斑煥白精華的宣傳，屬於化妝品廣告。廣告中的用詞，如「淡斑」、「美白」、「抑制黑色素生成」、「修護暗沉」、「保濕」、「煥活透亮」等，皆屬於化妝品常見的功效宣稱，旨在改善肌膚外觀、膚色不均、斑點及保濕度。雖然廣告中使用了「2週淡斑」、「速擊黑X超護白」、「全球NO.1淡斑精華」、「經科學實證有效淡化已生成斑點顏色、數量與面積，並精準抑制未來斑點生成」等較為強烈的詞語，但這些宣稱仍屬於化妝品改善肌膚外觀的範疇，並未涉及醫療效能或疾病治療的宣稱。其中「全球NO.1淡斑精華」有註明資料來源（Nielsen），「10大斑點瑕疵」也有註解說明其涵蓋範圍，這些都增加了宣稱的透明度與可信度。

參考資料中列出的「無違法風險」文字，主要針對保健食品或食品的功效宣稱（如調整體質、促進新陳代謝、排便順暢等），與本廣告的化妝品性質不同，因此該參考資料不適用於判斷此化妝品廣告的合法性。根據「無罪判定原則」及「從寬認定合法性」的原則，此廣告的用詞並未逾越化妝品廣告的合法範疇，不涉及誇大療效或違法。"
37,"美白 - Google Shopping 肌研白潤美白乳液/ 140mlVisit siteNT$471.00 · iHerbCOMPARE PRICESPRODUCT DETAILS平衡膚色,同時鎖住 Labo Shiro-jyun 清透乳液的水分。 Hada Labo Shiro-jyun Milk 讓膚色明顯更均勻,讓皮膚容光煥發。 質地輕盈,非常適合日常使用。 為獲得更深層的保濕和提亮效果,在使用 Hada Labo Shiro-jyun Milk 之前,使用 Labo Shiro-jyun 精華,或配合使用 Hada Labo Shiro-jyun 面霜。MORE DETAILSUSER REVIEWS4.7★★★★★393 reviews54321SEE ALL REVIEWSONLINE SHOPSSort DefaultDefaultPrice - low to highPrice - high to lowNT$471.00iHerbNT$251.00蝦皮購物NT$249.00+NT$80.00 shippingPChome 24h購物NT$171.00+NT$325.00 shippingDokodemoNT$329.00樂天市場購物網Showing results 1&ndash;5 of 8Next >RELATED ITEMSNT$691.76Hada Labo Arbutin Whitening Shirojyun Lotion 170ml★★★★★(346)NT$1,215.00Rohto Mentholatum 50 Megumi Glossy Cream 90g★★★★★(1)NT$1,392.36Hada Labo Shirojyun Premium Deep Whitening ...★★★★★(94)NT$687.18Hada Labo Gokujyun Premium Hyaluronic Emulsion ...★★★★★(239)NT$1,075.20Hada Labo Shirojyun Premium Whitening Emulsion ...★★★★★(256)NT$486.92Melano CC Medicinal anti-shine serum 20ml★★★★★(11,504)NT$327.23Hada Labo Shirojyun Brightening Lotion 170ml ...★★★★★(227)",legal,廣告文字內容主要提及「美白」、「平衡膚色」、「膚色明顯更均勻」、「容光煥發」及「提亮效果」。這些詞彙屬於化妝品常見的功效宣稱，旨在改善皮膚外觀。參考資料中列出的不具違法風險的文字，主要針對保健食品或營養補充品（如調整體質、促進新陳代謝、排便順暢等），並未包含任何關於化妝品或美白產品的判斷標準。由於參考資料未提供判斷化妝品美白宣稱是否違法的依據，且根據「無罪判定原則」及「從寬認定合法性」的原則，在缺乏明確禁止或限制美白宣稱的參考依據下，無法判斷其涉及誇大療效或違法。
